,network,Vs,Es,secs,tangCounts,timings,sepCounts
0,constructed_20_30,19,29,11.74,"(2, 1)-(3, 2)-(4, 1)-(5, 1)-(6, 0)-(7, 0)-(8, 0)",2.66-2.68-2.89-2.84,6-24-76-192
1,constructed_20_40,20,40,11.86,"(2, 1)-(3, 2)-(4, 1)-(5, 2)-(6, 0)-(7, 0)-(8, 0)",2.78-2.93-3.05-3.0,4-12-29-60
2,constructed_20_50,20,50,11.76,"(2, 1)-(3, 2)-(4, 1)-(5, 1)-(6, 0)-(7, 0)-(8, 0)",2.88-2.96-2.82-3.01,2-6-16-28
3,constructed_20_60,20,60,11.86,"(2, 1)-(3, 1)-(4, 1)-(5, 1)-(6, 0)-(7, 0)-(8, 0)",2.96-3.02-2.93-2.87,3-5-10-18
4,constructed_50_60,36,46,16.04,"(2, 2)-(3, 7)-(4, 8)-(5, 2)-(6, 0)-(7, 0)-(8, 0)",3.07-3.17-3.45-4.92,19-182-1194-6119
5,constructed_50_70,45,65,20.9,"(2, 4)-(3, 6)-(4, 6)-(5, 9)-(6, 0)-(7, 0)-(8, 0)",2.75-3.16-3.54-4.43,20-201-1373-7276
6,constructed_50_80,46,76,16.21,"(2, 3)-(3, 8)-(4, 2)-(5, 4)-(6, 0)-(7, 0)-(8, 0)",2.72-2.94-3.21-3.45,11-79-441-2054
7,constructed_50_90,47,87,13.22,"(2, 1)-(3, 2)-(4, 3)-(5, 5)-(6, 0)-(7, 0)-(8, 0)",2.68-2.98-3.22-3.57,13-89-442-1814
8,constructed_50_100,46,96,13.67,"(2, 2)-(3, 7)-(4, 2)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",2.93-3.14-3.22-3.76,14-107-596-2684
9,constructed_50_110,49,109,12.97,"(2, 1)-(3, 1)-(4, 5)-(5, 1)-(6, 0)-(7, 0)-(8, 0)",2.85-2.98-3.23-3.27,9-46-192-704
10,constructed_50_120,50,120,11.35,"(2, 1)-(3, 1)-(4, 1)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",2.99-2.98-2.65-2.47,10-51-190-604
11,constructed_50_130,48,128,11.21,"(2, 1)-(3, 3)-(4, 3)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",2.36-2.36-2.66-3.37,8-41-170-592
12,constructed_50_140,50,140,14.47,"(2, 2)-(3, 3)-(4, 2)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",3.41-3.34-3.52-3.76,6-24-85-262
13,constructed_50_150,49,149,10.09,"(2, 1)-(3, 1)-(4, 3)-(5, 2)-(6, 0)-(7, 0)-(8, 0)",2.73-2.37-2.39-2.39,6-21-64-173
14,constructed_100_110,50,60,135.06,"(2, 4)-(3, 9)-(4, 12)-(5, 9)-(6, 0)-(7, 0)-(8, 0)",2.44-2.57-3.85-92.43,33-541-5896-48222
15,constructed_100_120,64,84,278.8,"(2, 3)-(3, 13)-(4, 19)-(5, 13)-(6, 0)-(7, 0)-(8, 0)",2.8-3.06-5.47-211.23,34-582-6720-59117
16,constructed_100_130,83,113,575.31,"(2, 6)-(3, 22)-(4, 19)-(5, 13)-(6, 0)-(7, 0)-(8, 0)",2.8-3.25-7.82-361.32,38-737-9757-99388
