,network,Vs,Es,secs,tangCounts,timings,sepCounts
0,constructed_20_30,19,29,12.57,"(2, 1)-(3, 2)-(4, 1)-(5, 1)-(6, 0)-(7, 0)-(8, 0)",2.74-3.0-3.17-3.34,6-24-76-192
1,constructed_20_40,20,40,12.49,"(2, 1)-(3, 2)-(4, 1)-(5, 2)-(6, 0)-(7, 0)-(8, 0)",2.94-3.16-3.14-3.14,4-12-29-60
2,constructed_20_50,20,50,12.54,"(2, 1)-(3, 2)-(4, 1)-(5, 1)-(6, 0)-(7, 0)-(8, 0)",3.01-3.12-3.13-3.17,2-6-16-28
3,constructed_20_60,20,60,12.64,"(2, 1)-(3, 1)-(4, 1)-(5, 1)-(6, 0)-(7, 0)-(8, 0)",3.06-3.19-3.2-3.1,3-5-10-18
4,constructed_50_60,36,46,18.36,"(2, 2)-(3, 7)-(4, 8)-(5, 2)-(6, 0)-(7, 0)-(8, 0)",3.36-3.53-3.87-6.05,19-182-1194-6119
5,constructed_50_70,45,65,26.12,"(2, 4)-(3, 6)-(4, 6)-(5, 9)-(6, 0)-(7, 0)-(8, 0)",3.17-3.65-4.4-7.27,20-201-1373-7276
6,constructed_50_80,46,76,18.3,"(2, 3)-(3, 8)-(4, 2)-(5, 4)-(6, 0)-(7, 0)-(8, 0)",2.94-3.42-4.08-4.51,11-79-441-2054
7,constructed_50_90,47,87,15.73,"(2, 1)-(3, 2)-(4, 3)-(5, 5)-(6, 0)-(7, 0)-(8, 0)",2.53-2.73-4.06-5.69,13-89-442-1814
8,constructed_50_100,46,96,15.92,"(2, 2)-(3, 7)-(4, 2)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",3.96-3.99-3.3-4.09,14-107-596-2684
9,constructed_50_110,49,109,12.33,"(2, 1)-(3, 1)-(4, 5)-(5, 1)-(6, 0)-(7, 0)-(8, 0)",2.51-2.61-2.94-3.66,9-46-192-704
10,constructed_50_120,50,120,11.89,"(2, 1)-(3, 1)-(4, 1)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",2.59-2.75-2.76-3.46,10-51-190-604
11,constructed_50_130,48,128,13.96,"(2, 1)-(3, 3)-(4, 3)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",3.85-3.89-2.82-3.09,8-41-170-592
12,constructed_50_140,50,140,13.99,"(2, 2)-(3, 3)-(4, 2)-(5, 3)-(6, 0)-(7, 0)-(8, 0)",2.69-3.23-3.74-4.0,6-24-85-262
13,constructed_50_150,49,149,14.45,"(2, 1)-(3, 1)-(4, 3)-(5, 2)-(6, 0)-(7, 0)-(8, 0)",3.23-3.53-3.68-3.8,6-21-64-173
14,constructed_100_110,50,60,156.88,"(2, 4)-(3, 9)-(4, 12)-(5, 9)-(6, 0)-(7, 0)-(8, 0)",3.42-4.18-7.06-112.65,33-541-5896-48222
15,constructed_100_120,64,84,334.21,"(2, 3)-(3, 13)-(4, 19)-(5, 13)-(6, 0)-(7, 0)-(8, 0)",2.73-3.59-12.77-264.55,34-582-6720-59117
