,network,Vs,Es,secs,tangCounts,timings
0,constructed_20_30,19,29,9.98,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.47-2.41-2.52-2.56
1,constructed_20_40,20,40,10.01,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.45-2.53-2.49-2.54
2,constructed_20_50,20,50,10.13,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.52-2.53-2.54-2.53
3,constructed_20_60,20,60,10.14,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.47-2.54-2.57-2.55
4,constructed_50_60,36,46,12.68,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.63-2.7-2.98-4.36
5,constructed_50_70,45,65,14.03,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.64-2.7-3.2-5.48
6,constructed_50_80,46,76,12.6,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.55-2.81-3.07-4.16
7,constructed_50_90,47,87,12.26,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.64-2.81-2.94-3.86
8,constructed_50_100,46,96,13.18,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.66-2.92-3.27-4.3
9,constructed_50_110,49,109,12.21,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.66-2.81-3.0-3.7
10,constructed_50_120,50,120,11.59,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.72-2.76-2.89-3.22
11,constructed_50_130,48,128,11.33,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.59-2.75-2.88-3.11
12,constructed_50_140,50,140,11.36,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.64-2.79-2.84-3.08
13,constructed_50_150,49,149,11.17,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.68-2.76-2.79-2.93
14,constructed_100_110,50,60,99.86,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.74-3.16-5.75-88.2
15,constructed_100_120,64,84,179.58,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",2.73-3.52-9.36-163.96
16,constructed_100_130,83,113,336.97,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.13-4.99-18.69-310.15
17,constructed_100_140,76,116,114.54,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.02-3.88-10.3-97.32
18,constructed_100_150,89,139,319.15,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.39-6.58-27.43-281.73
19,constructed_100_160,90,150,194.39,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.47-4.76-16.79-169.35
20,constructed_100_170,93,163,199.7,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.7-6.84-27.5-161.64
21,constructed_100_180,98,178,372.86,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.15-6.34-33.32-329.03
22,constructed_100_190,98,188,207.68,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",4.65-8.42-33.48-161.13
23,constructed_100_200,93,193,89.37,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.35-4.85-13.83-67.33
24,constructed_100_210,95,205,79.28,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.8-4.58-13.97-56.91
25,constructed_100_220,97,217,84.19,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.91-4.51-12.64-63.12
26,constructed_100_230,99,229,47.69,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.27-3.89-8.49-32.03
27,constructed_100_240,94,234,64.03,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.3-4.28-11.42-45.01
28,constructed_100_250,99,249,39.88,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",3.49-4.36-8.13-23.88
29,constructed_100_260,94,254,84.74,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",7.48-9.24-18.92-49.09
30,constructed_100_270,97,267,114.94,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",6.31-10.42-21.6-76.6
31,constructed_100_280,99,279,56.85,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",5.91-7.35-13.74-29.84
32,constructed_100_290,97,287,80.1,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",6.73-9.02-18.18-46.16
33,constructed_100_300,98,298,77.18,"(2, 0)-(3, 0)-(4, 0)-(5, 0)-(6, 0)",7.94-9.4-16.65-43.17
