,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
C0SP91,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O05253,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O05404,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
O05501,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06714,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06727,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06966,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06968,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06973,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O06976,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O06993,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07517,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07521,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O07522,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07523,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07527,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07568,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07573,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07585,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07621,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07628,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O07639,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O08455,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31435,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31469,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31488,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31498,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31501,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31502;O35023,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31516,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31522,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31530,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31543,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31550,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31570,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31602;P20429,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
O31605,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31613,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31633,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31653,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31654,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
O31661,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31677,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31728,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31740;P21476;P54602;P37541,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31741,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31794,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31824,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31851,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31861,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31863,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31915,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
O31927,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O31976,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32053,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32071,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32101,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32153,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O32193,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32198,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32206,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32212,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32239,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32247,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O32257,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34319,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34327,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
O34341;Q45614,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
O34347,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
O34358,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
O34384,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34389,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34427,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34441,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34454,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34483,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O34509,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34529,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34534,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
O34549,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
