,order,method,metric,value,dataName
0,3,CPM5,omega,0.0,YeastB
1,3,CPM5,LFK,0.0,YeastB
2,3,CPM5,MGH,0.0,YeastB
3,4,CPM5,omega,0.0,YeastB
4,4,CPM5,LFK,0.0,YeastB
5,4,CPM5,MGH,8.805109144356126e-17,YeastB
6,5,CPM5,omega,0.0,YeastB
7,5,CPM5,LFK,1.1102230246251565e-16,YeastB
8,5,CPM5,MGH,0.0,YeastB
9,6,CPM5,omega,0.0,YeastB
10,6,CPM5,LFK,1.1102230246251565e-16,YeastB
11,6,CPM5,MGH,0.0,YeastB
12,7,CPM5,omega,0.0,YeastB
13,7,CPM5,LFK,0.0,YeastB
14,7,CPM5,MGH,0.0,YeastB
0,2,CPM5,omega,-0.05103532299662428,YeastA
1,2,CPM5,LFK,0.143462150677656,YeastA
2,2,CPM5,MGH,0.08225519521335944,YeastA
3,3,CPM5,omega,-0.09879598605334718,YeastA
4,3,CPM5,LFK,0.10603856542309165,YeastA
5,3,CPM5,MGH,0.06636372038785866,YeastA
6,4,CPM5,omega,0.25162835882785667,YeastA
7,4,CPM5,LFK,0.36905329571376866,YeastA
8,4,CPM5,MGH,0.21730329999422782,YeastA
9,5,CPM5,omega,0.4367273398894085,YeastA
10,5,CPM5,LFK,0.4627327823674132,YeastA
11,5,CPM5,MGH,0.32485660237831737,YeastA
0,4,CPM5,omega,0.29949751680463094,Jazz
1,4,CPM5,LFK,0.14848526868972634,Jazz
2,4,CPM5,MGH,0.04622168654334316,Jazz
3,5,CPM5,omega,0.0,Jazz
4,5,CPM5,LFK,0.0,Jazz
5,5,CPM5,MGH,0.0,Jazz
6,6,CPM5,omega,0.0,Jazz
7,6,CPM5,LFK,0.0,Jazz
8,6,CPM5,MGH,0.0,Jazz
9,7,CPM5,omega,0.35461375306031,Jazz
10,7,CPM5,LFK,0.28786068223287564,Jazz
11,7,CPM5,MGH,0.14699121856013828,Jazz
12,8,CPM5,omega,0.0,Jazz
13,8,CPM5,LFK,0.0,Jazz
14,8,CPM5,MGH,0.0,Jazz
15,9,CPM5,omega,0.3837364894660074,Jazz
16,9,CPM5,LFK,0.12492152006736845,Jazz
17,9,CPM5,MGH,0.10313130595820862,Jazz
0,5,CPM5,omega,-0.04411318080583204,Copperfield
1,5,CPM5,LFK,0.01062426933184657,Copperfield
2,5,CPM5,MGH,0.00875436118786877,Copperfield
3,6,CPM5,omega,-0.05996424222009131,Copperfield
4,6,CPM5,LFK,0.015444795607430839,Copperfield
5,6,CPM5,MGH,0.015225655043686902,Copperfield
6,7,CPM5,omega,-0.06641625564238332,Copperfield
7,7,CPM5,LFK,0.018611928826591795,Copperfield
8,7,CPM5,MGH,0.016857850794965032,Copperfield
0,3,CPM5,omega,-0.06644959032153043,Bsubtilis
1,3,CPM5,LFK,0.022854862926119934,Bsubtilis
2,3,CPM5,MGH,0.016822198876403197,Bsubtilis
3,4,CPM5,omega,-0.11026354876906917,Bsubtilis
4,4,CPM5,LFK,0.03516256119014638,Bsubtilis
5,4,CPM5,MGH,0.03990075752332123,Bsubtilis
