,0,1,2,3,4,5,6,7,8,9,10,11
ADAL,1,1,1,1,1,1,1,1,1,1,1,1
ADAR,1,1,1,1,1,1,1,1,1,1,1,1
ADEL,1,1,1,1,1,1,1,1,1,1,1,1
ADER,1,1,1,1,1,1,1,1,1,1,1,1
ADFL,1,1,1,1,1,1,1,1,1,1,1,1
ADFR,1,1,1,1,1,1,1,1,1,1,1,1
ADLL,1,1,1,1,1,1,1,1,1,1,1,1
ADLR,1,1,1,1,1,1,1,1,1,1,1,1
AFDL,1,1,1,1,1,1,1,1,1,1,1,1
AFDR,1,1,1,1,1,1,1,1,1,1,1,1
AIAL,1,1,1,1,1,1,1,1,1,1,1,1
AIAR,1,1,1,1,1,1,1,1,1,1,1,1
AIBL,1,1,1,1,1,1,1,1,1,1,1,1
AIBR,1,1,1,1,1,1,1,1,1,1,1,1
AIML,1,1,1,1,1,1,1,1,1,1,1,1
AIMR,1,1,1,1,1,1,1,1,1,1,1,1
AINL,1,1,1,1,1,1,1,1,1,1,1,1
AINR,1,1,1,1,1,1,1,1,1,1,1,1
AIYL,1,1,1,1,1,1,1,1,1,1,1,1
AIYR,1,1,1,1,1,1,1,1,1,1,1,1
AIZL,1,1,1,1,1,1,1,1,1,1,1,1
AIZR,1,1,1,1,1,1,1,1,1,1,1,1
ALA,1,1,1,1,1,1,1,1,1,1,1,1
ALML,1,1,1,1,1,1,1,1,1,1,1,1
ALMR,1,1,1,1,1,1,1,1,1,1,1,1
ALNL,1,1,1,1,1,1,1,1,1,1,1,1
ALNR,1,1,1,1,1,1,1,1,1,1,1,1
AQR,1,1,1,1,1,1,1,1,1,1,1,1
AS01,1,1,1,1,1,1,1,1,1,1,1,1
AS02,1,1,1,1,1,1,1,1,1,1,1,1
AS03,1,1,1,1,1,1,1,1,1,1,1,1
AS04,1,1,1,1,1,1,1,1,1,1,1,1
AS05,1,1,1,1,1,1,1,1,1,1,1,1
AS06,1,1,1,1,1,1,1,1,1,1,1,1
AS07,1,1,1,1,1,1,1,1,1,1,1,1
AS08,1,1,1,1,1,1,1,1,1,1,1,1
AS09,1,1,1,1,1,1,1,1,1,1,1,1
AS10,1,1,1,1,1,1,1,1,1,1,1,1
AS11,1,1,1,1,1,1,1,1,1,1,1,1
ASEL,1,1,1,1,1,1,1,1,1,1,1,1
ASER,1,1,1,1,1,1,1,1,1,1,1,1
ASGL,1,1,1,1,1,1,1,1,1,1,1,1
ASGR,1,1,1,1,1,1,1,1,1,1,1,1
ASHL,1,1,1,1,1,1,1,1,1,1,1,1
ASHR,1,1,1,1,1,1,1,1,1,1,1,1
ASIL,1,1,1,1,1,1,1,1,1,1,1,1
ASIR,1,1,1,1,1,1,1,1,1,1,1,1
ASJL,1,1,1,1,1,1,1,1,1,1,1,1
ASJR,1,1,1,1,1,1,1,1,1,1,1,1
ASKL,1,1,1,1,1,1,1,1,1,1,1,1
ASKR,1,1,1,1,1,1,1,1,1,1,1,1
AUAL,1,1,1,1,1,1,1,1,1,1,1,1
AUAR,1,1,1,1,1,1,1,1,1,1,1,1
AVAL,1,1,1,1,1,1,1,1,1,1,1,1
AVAR,1,1,1,1,1,1,1,1,1,1,1,1
AVBL,1,1,1,1,1,1,1,1,1,1,1,1
AVBR,1,1,1,1,1,1,1,1,1,1,1,1
AVDL,1,1,1,1,1,1,1,1,1,1,1,1
AVDR,1,1,1,1,1,1,1,1,1,1,1,1
AVEL,1,1,1,1,1,1,1,1,1,1,1,1
AVER,1,1,1,1,1,1,1,1,1,1,1,1
AVFL,1,1,1,1,1,1,1,1,1,1,1,1
AVFR,1,1,1,1,1,1,1,1,1,1,1,1
AVG,1,1,1,1,1,1,1,1,1,1,1,1
AVHL,1,1,1,1,1,1,1,1,1,1,1,1
AVHR,1,1,1,1,1,1,1,1,1,1,1,1
AVJL,1,1,1,1,1,1,1,1,1,1,1,1
AVJR,1,1,1,1,1,1,1,1,1,1,1,1
AVKL,1,1,1,1,1,1,1,1,1,1,1,1
AVKR,1,1,1,1,1,1,1,1,1,1,1,1
AVL,1,1,1,1,1,1,1,1,1,1,1,1
AVM,1,1,1,1,1,1,1,1,1,1,1,1
AWAL,1,1,1,1,1,1,1,1,1,1,1,1
AWAR,1,1,1,1,1,1,1,1,1,1,1,1
AWBL,1,1,1,1,1,1,1,1,1,1,1,1
AWBR,1,1,1,1,1,1,1,1,1,1,1,1
AWCL,1,1,1,1,1,1,1,1,1,1,1,1
AWCR,1,1,1,1,1,1,1,1,1,1,1,1
BAGL,1,1,1,1,1,1,1,1,1,1,1,1
BAGR,1,1,1,1,1,1,1,1,1,1,1,1
BDUL,1,1,1,1,1,1,1,1,1,1,1,1
BDUR,1,1,1,1,1,1,1,1,1,1,1,1
CEPDL,1,1,1,1,1,1,1,1,1,1,1,1
CEPDR,1,1,1,1,1,1,1,1,1,1,1,1
CEPVL,1,1,1,1,1,1,1,1,1,1,1,1
CEPVR,1,1,1,1,1,1,1,1,1,1,1,1
DA01,1,1,1,1,1,1,1,1,1,1,1,1
DA02,1,1,1,1,1,1,1,1,1,1,1,1
DA03,1,1,1,1,1,1,1,1,1,1,1,1
DA04,1,1,1,1,1,1,1,1,1,1,1,1
DA05,1,1,1,1,1,1,1,1,1,1,1,1
DA06,1,1,1,1,1,1,1,1,1,1,1,1
DA07,1,1,1,1,1,1,1,1,1,1,1,1
DA08,1,1,1,1,1,1,1,1,1,1,1,1
DA09,1,1,1,1,1,1,1,1,1,1,1,1
DB01,1,1,1,1,1,1,1,1,1,1,1,1
DB02,1,1,1,1,1,1,1,1,1,1,1,1
DB03,1,1,1,1,1,1,1,1,1,1,1,1
DB04,1,1,1,1,1,1,1,1,1,1,1,1
DB05,1,1,1,1,1,1,1,1,1,1,1,1
DB06,1,1,1,1,1,1,1,1,1,1,1,1
DB07,1,1,1,1,1,1,1,1,1,1,1,1
DD01,1,1,1,1,1,1,1,1,1,1,1,1
DD02,1,1,1,1,1,1,1,1,1,1,1,1
DD03,1,1,1,1,1,1,1,1,1,1,1,1
DD04,1,1,1,1,1,1,1,1,1,1,1,1
DD05,1,1,1,1,1,1,1,1,1,1,1,1
DD06,1,1,1,1,1,1,1,1,1,1,1,1
DVA,1,1,1,1,1,1,1,1,1,1,1,1
DVB,1,1,1,1,1,1,1,1,1,1,1,1
DVC,1,1,1,1,1,1,1,1,1,1,1,1
FLPL,1,1,1,1,1,1,1,1,1,1,1,1
FLPR,1,1,1,1,1,1,1,1,1,1,1,1
HSNL,1,1,1,1,1,1,1,1,1,1,1,1
HSNR,1,1,1,1,1,1,1,1,1,1,1,1
IL1DL,1,1,1,1,1,1,1,1,1,1,1,1
IL1DR,1,1,1,1,1,1,1,1,1,1,1,1
IL1L,1,1,1,1,1,1,1,1,1,1,1,1
IL1R,1,1,1,1,1,1,1,1,1,1,1,1
IL1VL,1,1,1,1,1,1,1,1,1,1,1,1
IL1VR,1,1,1,1,1,1,1,1,1,1,1,1
IL2DL,1,1,1,1,1,1,1,1,1,1,1,1
IL2DR,1,1,1,1,1,1,1,1,1,1,1,1
IL2L,1,1,1,1,1,1,1,1,1,1,1,1
IL2R,1,1,1,1,1,1,1,1,1,1,1,1
IL2VL,1,1,1,1,1,1,1,1,1,1,1,1
IL2VR,1,1,1,1,1,1,1,1,1,1,1,1
LUAL,1,1,1,1,1,1,1,1,1,1,1,1
LUAR,1,1,1,1,1,1,1,1,1,1,1,1
NMJ,1,1,1,1,1,1,1,1,1,1,1,1
OLLL,1,1,1,1,1,1,1,1,1,1,1,1
OLLR,1,1,1,1,1,1,1,1,1,1,1,1
OLQDL,1,1,1,1,1,1,1,1,1,1,1,1
