,objFunction,value,dataName
0,infomap,4.2020884183783425,YeastB
1,multilevel,0.5613905325443787,YeastB
0,infomap,4.434473413903775,YeastA
1,multilevel,0.70272,YeastA
0,infomap,7.166773262195645,Jazz
1,multilevel,0.44021125576639364,Jazz
0,infomap,6.481019267012087,Copperfield
1,multilevel,0.29176747404844294,Copperfield
0,infomap,6.1631179968248215,Bsubtilis
1,multilevel,0.4577575150452685,Bsubtilis
0,infomap,4.8155742924903,Iceland
1,multilevel,0.5466803132787469,Iceland
0,infomap,4.214350490753573,Zebra
1,multilevel,0.20321995464852605,Zebra
0,infomap,5.283183844208433,Dolphins
1,multilevel,0.5195799216803133,Dolphins
0,infomap,4.2020884183783425,YeastB
1,multilevel,0.5658284023668639,YeastB
0,infomap,4.434473413903775,YeastA
1,multilevel,0.703424,YeastA
0,infomap,7.166773262195645,Jazz
1,multilevel,0.4356929727538398,Jazz
0,infomap,6.481019267012087,Copperfield
1,multilevel,0.2805951557093425,Copperfield
0,infomap,6.162385714697475,Bsubtilis
1,multilevel,0.46018505870121185,Bsubtilis
0,infomap,4.8155742924903,Iceland
1,multilevel,0.5455233179067284,Iceland
0,infomap,4.214350490753573,Zebra
1,multilevel,0.20321995464852605,Zebra
0,infomap,5.283183844208433,Dolphins
1,multilevel,0.5277283335311103,Dolphins
0,infomap,4.2020884183783425,YeastB
1,multilevel,0.5584319526627219,YeastB
0,infomap,4.434473413903775,YeastA
1,multilevel,0.70272,YeastA
0,infomap,7.166773262195645,Jazz
1,multilevel,0.4405106480439617,Jazz
0,infomap,6.481019267012087,Copperfield
1,multilevel,0.3006671280276817,Copperfield
0,infomap,6.1631179968248215,Bsubtilis
1,multilevel,0.45402750267513614,Bsubtilis
0,infomap,4.8155742924903,Iceland
1,multilevel,0.5404503381986472,Iceland
0,infomap,4.214350490753573,Zebra
1,multilevel,0.20321995464852605,Zebra
0,infomap,5.283183844208433,Dolphins
1,multilevel,0.5188283691309679,Dolphins
0,infomap,4.2020884183783425,YeastB
1,multilevel,0.5658284023668639,YeastB
0,infomap,4.434473413903775,YeastA
1,multilevel,0.703424,YeastA
0,infomap,7.166773262195645,Jazz
1,multilevel,0.44021125576639364,Jazz
