,method1,method2,metric,value,dataName
0,infomap,multilevel,vi,0.3112812128548117,YeastB
1,infomap,multilevel,nmi,0.8985861011268419,YeastB
2,infomap,multilevel,split-join,6.0,YeastB
3,infomap,multilevel,rand,0.8948948948948948,YeastB
4,infomap,multilevel,adjusted_rand,0.5992206770814712,YeastB
5,infomap,multilevel,vi,0.4936601786771275,YeastB
6,infomap,multilevel,nmi,0.8591718613387243,YeastB
7,infomap,multilevel,split-join,9.0,YeastB
9,infomap,multilevel,adjusted_rand,0.7075795970594875,YeastB
10,infomap,multilevel,vi,0.4806822640062425,YeastB
12,infomap,multilevel,split-join,7.0,YeastB
13,infomap,multilevel,rand,0.9009009009009008,YeastB
14,infomap,multilevel,adjusted_rand,0.726280917627718,YeastB
15,infomap,multilevel,vi,0.4321602666075228,YeastB
16,infomap,multilevel,nmi,0.9024015824515099,YeastB
18,infomap,multilevel,rand,0.8543543543543543,YeastB
21,infomap,multilevel,nmi,0.8327513022781962,YeastB
24,infomap,multilevel,adjusted_rand,0.6137583852491358,YeastB
25,infomap,multilevel,vi,0.0,YeastB
40,infomap,multilevel,vi,0.2983032981839262,YeastB
48,infomap,multilevel,rand,0.8888888888888887,YeastB
58,infomap,multilevel,rand,0.8603603603603602,YeastB
63,infomap,multilevel,rand,0.8483483483483483,YeastB
72,infomap,multilevel,split-join,10.0,YeastB
122,infomap,multilevel,split-join,0.0,YeastB
124,infomap,multilevel,adjusted_rand,0.6919904004799757,YeastB
131,infomap,multilevel,nmi,1.0,YeastB
160,infomap,multilevel,vi,0.6145392324298387,YeastB
164,infomap,multilevel,adjusted_rand,0.6322364592858243,YeastB
0,infomap,multilevel,vi,0.19299317741440225,YeastA
1,infomap,multilevel,nmi,0.9472526195362408,YeastA
2,infomap,multilevel,split-join,6.0,YeastA
3,infomap,multilevel,rand,0.9622475856014048,YeastA
4,infomap,multilevel,adjusted_rand,0.8610877118343616,YeastA
6,infomap,multilevel,nmi,0.9177402551149914,YeastA
8,infomap,multilevel,rand,0.9745390693590871,YeastA
9,infomap,multilevel,adjusted_rand,0.906736614441129,YeastA
22,infomap,multilevel,split-join,8.0,YeastA
25,infomap,multilevel,vi,0.3012684130927332,YeastA
37,infomap,multilevel,split-join,10.0,YeastA
51,infomap,multilevel,nmi,0.8938546045647036,YeastA
78,infomap,multilevel,rand,0.955223880597015,YeastA
180,infomap,multilevel,vi,0.3879826970895648,YeastA
0,infomap,multilevel,vi,1.0381001295871182,Jazz
1,infomap,multilevel,nmi,0.5282545724718603,Jazz
2,infomap,multilevel,split-join,89.0,Jazz
3,infomap,multilevel,rand,0.6522073527149671,Jazz
4,infomap,multilevel,adjusted_rand,0.3256612735765631,Jazz
5,infomap,multilevel,vi,1.0604931293149678,Jazz
6,infomap,multilevel,nmi,0.5009610197973035,Jazz
7,infomap,multilevel,split-join,79.0,Jazz
8,infomap,multilevel,rand,0.6558478182843664,Jazz
9,infomap,multilevel,adjusted_rand,0.36527571614433524,Jazz
10,infomap,multilevel,vi,1.1076839541776242,Jazz
11,infomap,multilevel,nmi,0.5456502811956682,Jazz
12,infomap,multilevel,split-join,93.0,Jazz
13,infomap,multilevel,rand,0.6599497513203096,Jazz
14,infomap,multilevel,adjusted_rand,0.3267079646815549,Jazz
15,infomap,multilevel,vi,1.1111706583657426,Jazz
17,infomap,multilevel,split-join,92.0,Jazz
20,infomap,multilevel,vi,1.1072066128108038,Jazz
21,infomap,multilevel,nmi,0.5301565100428426,Jazz
22,infomap,multilevel,split-join,80.0,Jazz
23,infomap,multilevel,rand,0.7112751884325491,Jazz
25,infomap,multilevel,vi,1.0677404886236754,Jazz
26,infomap,multilevel,nmi,0.5038030388170763,Jazz
27,infomap,multilevel,split-join,94.0,Jazz
28,infomap,multilevel,rand,0.654463415884736,Jazz
29,infomap,multilevel,adjusted_rand,0.44436108121050844,Jazz
32,infomap,multilevel,split-join,91.0,Jazz
33,infomap,multilevel,rand,0.653796851766395,Jazz
34,infomap,multilevel,adjusted_rand,0.4091168406800531,Jazz
35,infomap,multilevel,vi,0.792358310918833,Jazz
36,infomap,multilevel,nmi,0.5299512720819027,Jazz
38,infomap,multilevel,rand,0.65272009434446,Jazz
40,infomap,multilevel,vi,1.0416231053234744,Jazz
41,infomap,multilevel,nmi,0.5474085101809409,Jazz
42,infomap,multilevel,split-join,90.0,Jazz
43,infomap,multilevel,rand,0.7173255396605653,Jazz
44,infomap,multilevel,adjusted_rand,0.33646451380483194,Jazz
45,infomap,multilevel,vi,1.0642241013081146,Jazz
46,infomap,multilevel,nmi,0.5163200524503033,Jazz
47,infomap,multilevel,split-join,85.0,Jazz
48,infomap,multilevel,rand,0.6979439060657338,Jazz
49,infomap,multilevel,adjusted_rand,0.43199197258157757,Jazz
51,infomap,multilevel,nmi,0.4999966809654456,Jazz
52,infomap,multilevel,split-join,96.0,Jazz
53,infomap,multilevel,rand,0.6554376249807722,Jazz
54,infomap,multilevel,adjusted_rand,0.3193211770656447,Jazz
60,infomap,multilevel,vi,1.0652310326067078,Jazz
61,infomap,multilevel,nmi,0.5286757087281203,Jazz
62,infomap,multilevel,split-join,77.0,Jazz
64,infomap,multilevel,adjusted_rand,0.40567662127509374,Jazz
65,infomap,multilevel,vi,1.119865560826039,Jazz
67,infomap,multilevel,split-join,87.0,Jazz
68,infomap,multilevel,rand,0.6982515510434295,Jazz
73,infomap,multilevel,rand,0.6607188637645492,Jazz
74,infomap,multilevel,adjusted_rand,0.4462627515207986,Jazz
75,infomap,multilevel,vi,1.0541305429126662,Jazz
78,infomap,multilevel,rand,0.6588729938983746,Jazz
79,infomap,multilevel,adjusted_rand,0.3223485438251357,Jazz
84,infomap,multilevel,adjusted_rand,0.3248328522889188,Jazz
88,infomap,multilevel,rand,0.7121981233656361,Jazz
89,infomap,multilevel,adjusted_rand,0.4428675487811317,Jazz
92,infomap,multilevel,split-join,82.0,Jazz
93,infomap,multilevel,rand,0.7204019894375226,Jazz
94,infomap,multilevel,adjusted_rand,0.32225186193177807,Jazz
99,infomap,multilevel,adjusted_rand,0.33545428625528273,Jazz
100,infomap,multilevel,vi,0.8687991858896471,Jazz
101,infomap,multilevel,nmi,0.6099610456749989,Jazz
103,infomap,multilevel,rand,0.7047120955750399,Jazz
104,infomap,multilevel,adjusted_rand,0.3348926745763604,Jazz
105,infomap,multilevel,vi,1.0955864044842918,Jazz
106,infomap,multilevel,nmi,0.5504611433871279,Jazz
109,infomap,multilevel,adjusted_rand,0.33537829522857276,Jazz
110,infomap,multilevel,vi,1.0639581035823011,Jazz
111,infomap,multilevel,nmi,0.5469553441281056,Jazz
113,infomap,multilevel,rand,0.6564118340768087,Jazz
116,infomap,multilevel,nmi,0.5312851397423245,Jazz
118,infomap,multilevel,rand,0.6541557709070402,Jazz
125,infomap,multilevel,vi,1.1245784912879653,Jazz
126,infomap,multilevel,nmi,0.5460258452227331,Jazz
129,infomap,multilevel,adjusted_rand,0.4183211520249158,Jazz
130,infomap,multilevel,vi,1.0608560612604847,Jazz
132,infomap,multilevel,split-join,97.0,Jazz
0,infomap,multilevel,vi,2.0501796112499,Copperfield
1,infomap,multilevel,nmi,0.06433762019265821,Copperfield
2,infomap,multilevel,split-join,90.0,Copperfield
3,infomap,multilevel,rand,0.18001930501930496,Copperfield
4,infomap,multilevel,adjusted_rand,0.009866153810877108,Copperfield
5,infomap,multilevel,vi,1.8649747517119524,Copperfield
6,infomap,multilevel,nmi,0.05383371598477566,Copperfield
7,infomap,multilevel,split-join,88.0,Copperfield
8,infomap,multilevel,rand,0.20109395109395115,Copperfield
9,infomap,multilevel,adjusted_rand,0.009632320941190018,Copperfield
10,infomap,multilevel,vi,1.9079271267161677,Copperfield
11,infomap,multilevel,nmi,0.04543947130185661,Copperfield
12,infomap,multilevel,split-join,89.0,Copperfield
13,infomap,multilevel,rand,0.18098455598455587,Copperfield
14,infomap,multilevel,adjusted_rand,0.008017795342064689,Copperfield
15,infomap,multilevel,vi,1.705205310574432,Copperfield
16,infomap,multilevel,nmi,0.03971838009352706,Copperfield
17,infomap,multilevel,split-join,94.0,Copperfield
18,infomap,multilevel,rand,0.1817889317889318,Copperfield
19,infomap,multilevel,adjusted_rand,0.015057347122073678,Copperfield
20,infomap,multilevel,vi,1.9044665407768786,Copperfield
21,infomap,multilevel,nmi,0.06469186665752996,Copperfield
22,infomap,multilevel,split-join,87.0,Copperfield
23,infomap,multilevel,rand,0.2112290862290862,Copperfield
24,infomap,multilevel,adjusted_rand,0.012818109596622341,Copperfield
25,infomap,multilevel,vi,1.7705396324143985,Copperfield
26,infomap,multilevel,nmi,0.059520318771868815,Copperfield
28,infomap,multilevel,rand,0.21396396396396386,Copperfield
29,infomap,multilevel,adjusted_rand,0.00463132568543925,Copperfield
30,infomap,multilevel,vi,1.8239964295096716,Copperfield
31,infomap,multilevel,nmi,0.12888440025563616,Copperfield
33,infomap,multilevel,rand,0.21042471042471037,Copperfield
34,infomap,multilevel,adjusted_rand,0.013502619911325935,Copperfield
35,infomap,multilevel,vi,1.7479046239066864,Copperfield
36,infomap,multilevel,nmi,0.06507321962116595,Copperfield
38,infomap,multilevel,rand,0.20962033462033464,Copperfield
39,infomap,multilevel,adjusted_rand,0.00812182347836859,Copperfield
40,infomap,multilevel,vi,1.7945516641542691,Copperfield
41,infomap,multilevel,nmi,0.06590291704329324,Copperfield
43,infomap,multilevel,rand,0.19868082368082374,Copperfield
