,method1,method2,metric,value,dataName
0,infomap,multilevel,vi,0.3112812128548117,YeastB
1,infomap,multilevel,nmi,0.8985861011268419,YeastB
2,infomap,multilevel,split-join,7.0,YeastB
3,infomap,multilevel,rand,0.9009009009009008,YeastB
4,infomap,multilevel,adjusted_rand,1.0,YeastB
5,infomap,multilevel,vi,0.4936601786771275,YeastB
6,infomap,multilevel,nmi,0.9024015824515099,YeastB
9,infomap,multilevel,adjusted_rand,0.6137583852491358,YeastB
11,infomap,multilevel,nmi,0.8591718613387243,YeastB
13,infomap,multilevel,rand,0.8948948948948948,YeastB
14,infomap,multilevel,adjusted_rand,0.726280917627718,YeastB
17,infomap,multilevel,split-join,3.0,YeastB
20,infomap,multilevel,vi,0.4321602666075228,YeastB
24,infomap,multilevel,adjusted_rand,0.7075795970594875,YeastB
25,infomap,multilevel,vi,0.2983032981839262,YeastB
27,infomap,multilevel,split-join,6.0,YeastB
28,infomap,multilevel,rand,0.8888888888888887,YeastB
32,infomap,multilevel,split-join,9.0,YeastB
33,infomap,multilevel,rand,0.8543543543543543,YeastB
37,infomap,multilevel,split-join,0.0,YeastB
39,infomap,multilevel,adjusted_rand,0.6322364592858243,YeastB
41,infomap,multilevel,nmi,0.9291939377279408,YeastB
59,infomap,multilevel,adjusted_rand,0.698126510878324,YeastB
64,infomap,multilevel,adjusted_rand,0.5992206770814712,YeastB
65,infomap,multilevel,vi,0.4806822640062425,YeastB
91,infomap,multilevel,nmi,0.8290078851551467,YeastB
93,infomap,multilevel,rand,0.8483483483483483,YeastB
94,infomap,multilevel,adjusted_rand,0.6919904004799757,YeastB
126,infomap,multilevel,nmi,1.0,YeastB
133,infomap,multilevel,rand,0.8603603603603602,YeastB
136,infomap,multilevel,nmi,0.8327513022781962,YeastB
150,infomap,multilevel,vi,0.3176776572835407,YeastB
157,infomap,multilevel,split-join,10.0,YeastB
174,infomap,multilevel,adjusted_rand,0.9041256571300613,YeastB
178,infomap,multilevel,rand,1.0,YeastB
193,infomap,multilevel,rand,0.9594594594594595,YeastB
0,infomap,multilevel,vi,0.3012684130927332,YeastA
1,infomap,multilevel,nmi,0.9177402551149914,YeastA
2,infomap,multilevel,split-join,6.0,YeastA
3,infomap,multilevel,rand,0.9745390693590871,YeastA
4,infomap,multilevel,adjusted_rand,0.906736614441129,YeastA
5,infomap,multilevel,vi,0.19299317741440225,YeastA
12,infomap,multilevel,split-join,8.0,YeastA
14,infomap,multilevel,adjusted_rand,0.8610877118343616,YeastA
16,infomap,multilevel,nmi,0.9472526195362408,YeastA
26,infomap,multilevel,nmi,0.8938546045647036,YeastA
48,infomap,multilevel,rand,0.9622475856014048,YeastA
72,infomap,multilevel,split-join,10.0,YeastA
79,infomap,multilevel,adjusted_rand,0.8363533408833527,YeastA
0,infomap,multilevel,vi,1.0677404886236754,Jazz
1,infomap,multilevel,nmi,0.5317053918368333,Jazz
2,infomap,multilevel,split-join,91.0,Jazz
3,infomap,multilevel,rand,0.6558478182843664,Jazz
4,infomap,multilevel,adjusted_rand,0.3801254239399296,Jazz
5,infomap,multilevel,vi,1.0899517596561543,Jazz
6,infomap,multilevel,nmi,0.5286757087281203,Jazz
7,infomap,multilevel,split-join,86.0,Jazz
8,infomap,multilevel,rand,0.6602061221350564,Jazz
9,infomap,multilevel,adjusted_rand,0.3256612735765631,Jazz
10,infomap,multilevel,vi,0.9154644153727465,Jazz
11,infomap,multilevel,nmi,0.552928436264417,Jazz
12,infomap,multilevel,split-join,94.0,Jazz
13,infomap,multilevel,rand,0.65272009434446,Jazz
14,infomap,multilevel,adjusted_rand,0.3267079646815549,Jazz
15,infomap,multilevel,vi,1.1072066128108038,Jazz
16,infomap,multilevel,nmi,0.6100934925194067,Jazz
18,infomap,multilevel,rand,0.6607188637645492,Jazz
20,infomap,multilevel,vi,0.7914452716468243,Jazz
21,infomap,multilevel,nmi,0.5299512720819027,Jazz
23,infomap,multilevel,rand,0.653796851766395,Jazz
24,infomap,multilevel,adjusted_rand,0.32225186193177807,Jazz
25,infomap,multilevel,vi,1.0381001295871182,Jazz
26,infomap,multilevel,nmi,0.531178554113159,Jazz
29,infomap,multilevel,adjusted_rand,0.3197347894168833,Jazz
30,infomap,multilevel,vi,1.0604931293149678,Jazz
31,infomap,multilevel,nmi,0.5286058143204241,Jazz
33,infomap,multilevel,rand,0.6821514638773525,Jazz
34,infomap,multilevel,adjusted_rand,0.3223485438251357,Jazz
35,infomap,multilevel,vi,1.0396364541861063,Jazz
36,infomap,multilevel,nmi,0.5500132034722628,Jazz
37,infomap,multilevel,split-join,92.0,Jazz
38,infomap,multilevel,rand,0.7000974209096038,Jazz
39,infomap,multilevel,adjusted_rand,0.38075908120780694,Jazz
40,infomap,multilevel,vi,1.0541305429126662,Jazz
41,infomap,multilevel,nmi,0.5163200524503033,Jazz
44,infomap,multilevel,adjusted_rand,0.4431526520578161,Jazz
45,infomap,multilevel,vi,1.0652310326067078,Jazz
46,infomap,multilevel,nmi,0.5009610197973035,Jazz
48,infomap,multilevel,rand,0.6564118340768087,Jazz
49,infomap,multilevel,adjusted_rand,0.38026102001452655,Jazz
51,infomap,multilevel,nmi,0.5264360878322621,Jazz
53,infomap,multilevel,rand,0.6844588012100703,Jazz
54,infomap,multilevel,adjusted_rand,0.3193211770656447,Jazz
55,infomap,multilevel,vi,1.119865560826039,Jazz
56,infomap,multilevel,nmi,0.5282545724718603,Jazz
59,infomap,multilevel,adjusted_rand,0.34872658502563647,Jazz
61,infomap,multilevel,nmi,0.513339748655895,Jazz
62,infomap,multilevel,split-join,96.0,Jazz
63,infomap,multilevel,rand,0.6697943906065736,Jazz
64,infomap,multilevel,adjusted_rand,0.3348926745763604,Jazz
65,infomap,multilevel,vi,0.9159284425739114,Jazz
66,infomap,multilevel,nmi,0.5025042472414171,Jazz
68,infomap,multilevel,rand,0.6560016407732144,Jazz
70,infomap,multilevel,vi,1.13012748339459,Jazz
71,infomap,multilevel,nmi,0.5038030388170763,Jazz
72,infomap,multilevel,split-join,88.0,Jazz
74,infomap,multilevel,adjusted_rand,0.4091168406800531,Jazz
76,infomap,multilevel,nmi,0.529958726967565,Jazz
77,infomap,multilevel,split-join,76.0,Jazz
78,infomap,multilevel,rand,0.6541557709070402,Jazz
80,infomap,multilevel,vi,1.0013683191707512,Jazz
83,infomap,multilevel,rand,0.6480028713531252,Jazz
86,infomap,multilevel,nmi,0.5464499010928533,Jazz
88,infomap,multilevel,rand,0.6571296723580988,Jazz
90,infomap,multilevel,vi,1.0190979752508593,Jazz
95,infomap,multilevel,vi,0.8446874448696617,Jazz
96,infomap,multilevel,nmi,0.5026808361262547,Jazz
97,infomap,multilevel,split-join,90.0,Jazz
99,infomap,multilevel,adjusted_rand,0.3186902337854754,Jazz
103,infomap,multilevel,rand,0.6622570886530279,Jazz
104,infomap,multilevel,adjusted_rand,0.36853353308196324,Jazz
106,infomap,multilevel,nmi,0.6102615160679338,Jazz
108,infomap,multilevel,rand,0.6989693893247193,Jazz
110,infomap,multilevel,vi,1.00637761661677,Jazz
111,infomap,multilevel,nmi,0.5312851397423245,Jazz
113,infomap,multilevel,rand,0.6646669743116445,Jazz
114,infomap,multilevel,adjusted_rand,0.3467116263773451,Jazz
115,infomap,multilevel,vi,0.8427178449462505,Jazz
119,infomap,multilevel,adjusted_rand,0.3134830805232534,Jazz
123,infomap,multilevel,rand,0.6483105163308212,Jazz
125,infomap,multilevel,vi,0.7878018062129777,Jazz
126,infomap,multilevel,nmi,0.5858818623370662,Jazz
128,infomap,multilevel,rand,0.7189663128749426,Jazz
131,infomap,multilevel,nmi,0.5310018616295916,Jazz
133,infomap,multilevel,rand,0.654463415884736,Jazz
0,infomap,multilevel,vi,1.7526967286174806,Copperfield
1,infomap,multilevel,nmi,0.0582092243608746,Copperfield
2,infomap,multilevel,split-join,83.0,Copperfield
3,infomap,multilevel,rand,0.20801158301158298,Copperfield
4,infomap,multilevel,adjusted_rand,0.011643518735600865,Copperfield
5,infomap,multilevel,vi,1.752673608726402,Copperfield
6,infomap,multilevel,nmi,0.05923497239458633,Copperfield
7,infomap,multilevel,split-join,92.0,Copperfield
8,infomap,multilevel,rand,0.21814671814671818,Copperfield
9,infomap,multilevel,adjusted_rand,0.006562359146915558,Copperfield
10,infomap,multilevel,vi,1.7488931872821538,Copperfield
11,infomap,multilevel,nmi,0.0734352269621109,Copperfield
12,infomap,multilevel,split-join,91.0,Copperfield
13,infomap,multilevel,rand,0.2129987129987131,Copperfield
14,infomap,multilevel,adjusted_rand,0.010349971150970878,Copperfield
15,infomap,multilevel,vi,1.8498533329434077,Copperfield
16,infomap,multilevel,nmi,0.06141007740967338,Copperfield
17,infomap,multilevel,split-join,84.0,Copperfield
18,infomap,multilevel,rand,0.1895109395109394,Copperfield
19,infomap,multilevel,adjusted_rand,0.008189571556669802,Copperfield
20,infomap,multilevel,vi,2.0610878685892553,Copperfield
21,infomap,multilevel,nmi,0.05326837368875785,Copperfield
22,infomap,multilevel,split-join,88.0,Copperfield
23,infomap,multilevel,rand,0.18967181467181457,Copperfield
24,infomap,multilevel,adjusted_rand,0.0070792484548108615,Copperfield
25,infomap,multilevel,vi,1.7404124504328757,Copperfield
26,infomap,multilevel,nmi,0.05036059871798316,Copperfield
28,infomap,multilevel,rand,0.18162805662805664,Copperfield
29,infomap,multilevel,adjusted_rand,0.004334763017914055,Copperfield
