,method1,method2,metric,value,dataName
0,infomap,multilevel,vi,0.3112812128548117,YeastB
1,infomap,multilevel,nmi,0.8591718613387243,YeastB
2,infomap,multilevel,split-join,7.0,YeastB
3,infomap,multilevel,rand,0.9009009009009008,YeastB
4,infomap,multilevel,adjusted_rand,0.6919904004799757,YeastB
6,infomap,multilevel,nmi,0.8985861011268419,YeastB
7,infomap,multilevel,split-join,0.0,YeastB
8,infomap,multilevel,rand,0.8948948948948948,YeastB
9,infomap,multilevel,adjusted_rand,1.0,YeastB
10,infomap,multilevel,vi,0.2983032981839262,YeastB
14,infomap,multilevel,adjusted_rand,0.726280917627718,YeastB
16,infomap,multilevel,nmi,0.9024015824515099,YeastB
17,infomap,multilevel,split-join,6.0,YeastB
19,infomap,multilevel,adjusted_rand,0.6322364592858243,YeastB
24,infomap,multilevel,adjusted_rand,0.7075795970594875,YeastB
26,infomap,multilevel,nmi,0.8290078851551467,YeastB
28,infomap,multilevel,rand,0.8543543543543543,YeastB
29,infomap,multilevel,adjusted_rand,0.6137583852491358,YeastB
33,infomap,multilevel,rand,0.8603603603603602,YeastB
40,infomap,multilevel,vi,0.4321602666075228,YeastB
42,infomap,multilevel,split-join,9.0,YeastB
60,infomap,multilevel,vi,0.0,YeastB
83,infomap,multilevel,rand,0.8483483483483483,YeastB
85,infomap,multilevel,vi,0.4936601786771275,YeastB
88,infomap,multilevel,rand,0.8888888888888887,YeastB
98,infomap,multilevel,rand,1.0,YeastB
101,infomap,multilevel,nmi,0.7870861288329628,YeastB
115,infomap,multilevel,vi,0.6145392324298387,YeastB
132,infomap,multilevel,split-join,10.0,YeastB
145,infomap,multilevel,vi,0.18237896582231627,YeastB
150,infomap,multilevel,vi,0.4806822640062425,YeastB
171,infomap,multilevel,nmi,0.896717404507635,YeastB
196,infomap,multilevel,nmi,1.0,YeastB
226,infomap,multilevel,nmi,0.8327513022781962,YeastB
228,infomap,multilevel,rand,0.8918918918918919,YeastB
233,infomap,multilevel,rand,0.9594594594594595,YeastB
0,infomap,multilevel,vi,0.3012684130927332,YeastA
1,infomap,multilevel,nmi,0.9472526195362408,YeastA
2,infomap,multilevel,split-join,8.0,YeastA
3,infomap,multilevel,rand,0.9745390693590871,YeastA
4,infomap,multilevel,adjusted_rand,0.906736614441129,YeastA
5,infomap,multilevel,vi,0.19299317741440225,YeastA
7,infomap,multilevel,split-join,6.0,YeastA
16,infomap,multilevel,nmi,0.9177402551149914,YeastA
28,infomap,multilevel,rand,0.9622475856014048,YeastA
34,infomap,multilevel,adjusted_rand,0.8610877118343616,YeastA
48,infomap,multilevel,rand,0.955223880597015,YeastA
69,infomap,multilevel,adjusted_rand,0.8363533408833527,YeastA
132,infomap,multilevel,split-join,10.0,YeastA
0,infomap,multilevel,vi,1.0604931293149678,Jazz
1,infomap,multilevel,nmi,0.5504611433871279,Jazz
2,infomap,multilevel,split-join,96.0,Jazz
3,infomap,multilevel,rand,0.6606163154386506,Jazz
4,infomap,multilevel,adjusted_rand,0.3338570729173563,Jazz
5,infomap,multilevel,vi,1.0677404886236754,Jazz
6,infomap,multilevel,nmi,0.5286757087281203,Jazz
