,order,method,metric,value,dataName
0,3,CPM3,omega,0.19423593735520334,YeastB
1,3,CPM3,LFK,0.35765310801427097,YeastB
2,3,CPM3,MGH,0.3149564602063435,YeastB
3,4,CPM3,omega,0.32591721937704654,YeastB
4,4,CPM3,LFK,0.239884859790088,YeastB
5,4,CPM3,MGH,0.22510691268662097,YeastB
6,5,CPM3,omega,0.15219676266554558,YeastB
7,5,CPM3,LFK,0.05233584803684865,YeastB
8,5,CPM3,MGH,0.05310745009033909,YeastB
9,6,CPM3,omega,0.15219676266554558,YeastB
10,6,CPM3,LFK,0.05233584803684865,YeastB
11,6,CPM3,MGH,0.05310745009033909,YeastB
12,7,CPM3,omega,0.10293815492089581,YeastB
13,7,CPM3,LFK,0.07081773837201277,YeastB
14,7,CPM3,MGH,0.059008173302936534,YeastB
0,2,CPM3,omega,0.3352879384304561,YeastA
1,2,CPM3,LFK,0.488586689282717,YeastA
2,2,CPM3,MGH,0.46318600429966883,YeastA
3,3,CPM3,omega,0.6898241265294044,YeastA
4,3,CPM3,LFK,0.6009320126419238,YeastA
5,3,CPM3,MGH,0.6414740998322929,YeastA
6,4,CPM3,omega,0.7600690933602966,YeastA
7,4,CPM3,LFK,0.6139460506936322,YeastA
8,4,CPM3,MGH,0.6855867488320885,YeastA
9,5,CPM3,omega,0.4596931466588419,YeastA
10,5,CPM3,LFK,0.37920907289026706,YeastA
11,5,CPM3,MGH,0.4101621323353625,YeastA
0,4,CPM3,omega,0.5481156100772482,Jazz
1,4,CPM3,LFK,0.4175948648378014,Jazz
2,4,CPM3,MGH,0.3093729337879962,Jazz
3,7,CPM3,omega,0.5036336495279267,Jazz
4,7,CPM3,LFK,0.16966722935559164,Jazz
5,7,CPM3,MGH,0.13239971202983034,Jazz
6,9,CPM3,omega,0.5561389355996909,Jazz
7,9,CPM3,LFK,0.390675208316162,Jazz
8,9,CPM3,MGH,0.3618990323415472,Jazz
0,5,CPM3,omega,0.08629702747558425,Copperfield
1,5,CPM3,LFK,0.09770630579037065,Copperfield
2,5,CPM3,MGH,0.04476706901104059,Copperfield
3,6,CPM3,omega,0.09794012388917561,Copperfield
4,6,CPM3,LFK,0.06558757766123136,Copperfield
5,6,CPM3,MGH,0.04268657732118063,Copperfield
6,7,CPM3,omega,0.10827120653296238,Copperfield
7,7,CPM3,LFK,0.057755344457092295,Copperfield
8,7,CPM3,MGH,0.04296231653436386,Copperfield
0,3,CPM3,omega,-0.04739999552217544,Bsubtilis
1,3,CPM3,LFK,0.04687051794972752,Bsubtilis
2,3,CPM3,MGH,0.02350589677777849,Bsubtilis
3,4,CPM3,omega,-0.02941042028333125,Bsubtilis
4,4,CPM3,LFK,0.13283227672608755,Bsubtilis
5,4,CPM3,MGH,0.0709913389387799,Bsubtilis
0,3,CPM3,omega,-0.008286889061340206,Iceland
1,3,CPM3,LFK,0.009179417694340053,Iceland
2,3,CPM3,MGH,0.0028070685693779448,Iceland
3,4,CPM3,omega,0.011918615132969906,Iceland
4,4,CPM3,LFK,0.059984544921782845,Iceland
5,4,CPM3,MGH,0.03806701396208792,Iceland
6,5,CPM3,omega,0.01912807978265879,Iceland
7,5,CPM3,LFK,0.14400047646686798,Iceland
8,5,CPM3,MGH,0.04606046354812721,Iceland
9,6,CPM3,omega,0.10146581490661276,Iceland
10,6,CPM3,LFK,0.1574686863114929,Iceland
11,6,CPM3,MGH,0.05385661189543725,Iceland
0,4,CPM3,omega,0.3919194377681099,Zebra
1,4,CPM3,LFK,0.41060271755882405,Zebra
2,4,CPM3,MGH,0.24001010792582161,Zebra
3,5,CPM3,omega,0.6020908502174115,Zebra
4,5,CPM3,LFK,0.4056806317671343,Zebra
5,5,CPM3,MGH,0.3100822423689066,Zebra
6,6,CPM3,omega,0.8260516282267643,Zebra
7,6,CPM3,LFK,0.48626885112265494,Zebra
8,6,CPM3,MGH,0.44919727823458916,Zebra
9,7,CPM3,omega,0.8260516282267643,Zebra
10,7,CPM3,LFK,0.48626885112265494,Zebra
11,7,CPM3,MGH,0.44919727823458916,Zebra
12,14,CPM3,omega,0.7383332810981916,Zebra
13,14,CPM3,LFK,0.490422592744026,Zebra
14,14,CPM3,MGH,0.45475785794811374,Zebra
0,3,CPM3,omega,0.010957981420204108,Dolphins
1,3,CPM3,LFK,0.03672665674743225,Dolphins
2,3,CPM3,MGH,0.010865272660642907,Dolphins
3,7,CPM3,omega,0.3525184687709872,Dolphins
4,7,CPM3,LFK,0.23853138731174828,Dolphins
5,7,CPM3,MGH,0.2071773838625053,Dolphins
6,8,CPM3,omega,0.35202290781452067,Dolphins
7,8,CPM3,LFK,0.1476705225721574,Dolphins
8,8,CPM3,MGH,0.1581052243872371,Dolphins
9,9,CPM3,omega,0.40982898145770885,Dolphins
10,9,CPM3,LFK,0.17077857724824597,Dolphins
11,9,CPM3,MGH,0.23223564623169554,Dolphins
