,order,method,metric,value,dataName
0,3,CPM3,omega,-0.008286889061340206,Iceland
1,3,CPM3,LFK,0.009179417694340053,Iceland
2,3,CPM3,MGH,0.0028070685693779448,Iceland
3,4,CPM3,omega,0.011918615132969906,Iceland
4,4,CPM3,LFK,0.059984544921782845,Iceland
5,4,CPM3,MGH,0.03806701396208792,Iceland
6,5,CPM3,omega,0.01912807978265879,Iceland
7,5,CPM3,LFK,0.14400047646686798,Iceland
8,5,CPM3,MGH,0.04606046354812721,Iceland
9,6,CPM3,omega,0.10146581490661276,Iceland
10,6,CPM3,LFK,0.1574686863114929,Iceland
11,6,CPM3,MGH,0.05385661189543725,Iceland
12,3,CPM4,omega,-0.045143892639807705,Iceland
13,3,CPM4,LFK,0.023484268110727236,Iceland
14,3,CPM4,MGH,0.00910561414625682,Iceland
15,4,CPM4,omega,-0.14073414086373828,Iceland
16,4,CPM4,LFK,0.04837996584378079,Iceland
17,4,CPM4,MGH,0.03895207057046932,Iceland
18,5,CPM4,omega,-0.04347444956876201,Iceland
19,5,CPM4,LFK,0.043997547250508195,Iceland
20,5,CPM4,MGH,0.046637476090598276,Iceland
21,6,CPM4,omega,-0.057758058104789615,Iceland
22,6,CPM4,LFK,0.05268099860365805,Iceland
23,6,CPM4,MGH,0.0511944897206542,Iceland
24,3,CPM5,omega,0.0,Iceland
25,3,CPM5,LFK,1.1102230246251565e-16,Iceland
26,3,CPM5,MGH,0.0,Iceland
27,4,CPM5,omega,0.0,Iceland
28,4,CPM5,LFK,0.0,Iceland
29,4,CPM5,MGH,0.0,Iceland
30,5,CPM5,omega,0.0,Iceland
31,5,CPM5,LFK,0.0,Iceland
32,5,CPM5,MGH,-5.700800789640484e-17,Iceland
33,6,CPM5,omega,0.0,Iceland
34,6,CPM5,LFK,0.0,Iceland
35,6,CPM5,MGH,0.0,Iceland
36,3,CPM6,omega,0.0,Iceland
37,3,CPM6,LFK,1.1102230246251565e-16,Iceland
38,3,CPM6,MGH,0.0,Iceland
39,4,CPM6,omega,0.0,Iceland
40,4,CPM6,LFK,0.0,Iceland
41,4,CPM6,MGH,0.0,Iceland
42,5,CPM6,omega,0.0,Iceland
43,5,CPM6,LFK,0.0,Iceland
44,5,CPM6,MGH,-5.700800789640484e-17,Iceland
45,6,CPM6,omega,0.0,Iceland
46,6,CPM6,LFK,0.0,Iceland
47,6,CPM6,MGH,0.0,Iceland
0,4,CPM3,omega,0.3919194377681099,Zebra
1,4,CPM3,LFK,0.41060271755882405,Zebra
2,4,CPM3,MGH,0.24001010792582161,Zebra
3,5,CPM3,omega,0.6020908502174115,Zebra
4,5,CPM3,LFK,0.4056806317671343,Zebra
5,5,CPM3,MGH,0.3100822423689066,Zebra
6,6,CPM3,omega,0.8260516282267643,Zebra
7,6,CPM3,LFK,0.48626885112265494,Zebra
8,6,CPM3,MGH,0.44919727823458916,Zebra
9,7,CPM3,omega,0.8260516282267643,Zebra
10,7,CPM3,LFK,0.48626885112265494,Zebra
11,7,CPM3,MGH,0.44919727823458916,Zebra
12,14,CPM3,omega,0.7383332810981916,Zebra
13,14,CPM3,LFK,0.490422592744026,Zebra
14,14,CPM3,MGH,0.45475785794811374,Zebra
15,4,CPM4,omega,0.3763977395695563,Zebra
16,4,CPM4,LFK,0.40861218023360946,Zebra
17,4,CPM4,MGH,0.26476821071897694,Zebra
18,5,CPM4,omega,0.6277358837594261,Zebra
19,5,CPM4,LFK,0.41762623733289606,Zebra
20,5,CPM4,MGH,0.3385767864036996,Zebra
21,6,CPM4,omega,0.8339428035630568,Zebra
22,6,CPM4,LFK,0.4793289646104295,Zebra
23,6,CPM4,MGH,0.486540689365468,Zebra
24,7,CPM4,omega,0.8339428035630568,Zebra
25,7,CPM4,LFK,0.4793289646104295,Zebra
26,7,CPM4,MGH,0.486540689365468,Zebra
27,14,CPM4,omega,0.7141422384031133,Zebra
28,14,CPM4,LFK,0.47311136006375487,Zebra
29,14,CPM4,MGH,0.4776864049150075,Zebra
30,4,CPM5,omega,0.19199699417621652,Zebra
31,4,CPM5,LFK,0.28157391154160727,Zebra
32,4,CPM5,MGH,0.20638852887623352,Zebra
33,5,CPM5,omega,0.36694607781809097,Zebra
34,5,CPM5,LFK,0.3575945291943725,Zebra
35,5,CPM5,MGH,0.3504812795298396,Zebra
36,6,CPM5,omega,0.7707545695985003,Zebra
37,6,CPM5,LFK,0.623805494171676,Zebra
38,6,CPM5,MGH,0.6516363944511809,Zebra
39,7,CPM5,omega,0.7707545695985003,Zebra
40,7,CPM5,LFK,0.623805494171676,Zebra
41,7,CPM5,MGH,0.6516363944511809,Zebra
42,14,CPM5,omega,0.7312882668999126,Zebra
43,14,CPM5,LFK,0.576685147894369,Zebra
44,14,CPM5,MGH,0.6002280441060028,Zebra
45,4,CPM6,omega,0.19199699417621652,Zebra
46,4,CPM6,LFK,0.28157391154160727,Zebra
47,4,CPM6,MGH,0.20638852887623352,Zebra
48,5,CPM6,omega,0.36694607781809097,Zebra
49,5,CPM6,LFK,0.3575945291943725,Zebra
50,5,CPM6,MGH,0.3504812795298396,Zebra
51,6,CPM6,omega,0.7707545695985003,Zebra
52,6,CPM6,LFK,0.623805494171676,Zebra
53,6,CPM6,MGH,0.6516363944511809,Zebra
54,7,CPM6,omega,0.7707545695985003,Zebra
55,7,CPM6,LFK,0.623805494171676,Zebra
56,7,CPM6,MGH,0.6516363944511809,Zebra
57,14,CPM6,omega,0.7312882668999126,Zebra
58,14,CPM6,LFK,0.576685147894369,Zebra
59,14,CPM6,MGH,0.6002280441060028,Zebra
0,3,CPM3,omega,0.010957981420204108,Dolphins
1,3,CPM3,LFK,0.03672665674743225,Dolphins
2,3,CPM3,MGH,0.010865272660642907,Dolphins
3,7,CPM3,omega,0.3525184687709872,Dolphins
4,7,CPM3,LFK,0.23853138731174828,Dolphins
5,7,CPM3,MGH,0.2071773838625053,Dolphins
6,8,CPM3,omega,0.35202290781452067,Dolphins
7,8,CPM3,LFK,0.1476705225721574,Dolphins
8,8,CPM3,MGH,0.1581052243872371,Dolphins
9,9,CPM3,omega,0.40982898145770885,Dolphins
10,9,CPM3,LFK,0.17077857724824597,Dolphins
11,9,CPM3,MGH,0.23223564623169554,Dolphins
12,3,CPM4,omega,-0.03765353624562105,Dolphins
13,3,CPM4,LFK,0.05114006117765113,Dolphins
14,3,CPM4,MGH,0.014574208793630214,Dolphins
15,7,CPM4,omega,0.02614511552492904,Dolphins
16,7,CPM4,LFK,0.18869754221307122,Dolphins
17,7,CPM4,MGH,0.15412896878774257,Dolphins
18,8,CPM4,omega,0.03347021841043716,Dolphins
19,8,CPM4,LFK,0.1657538457429908,Dolphins
20,8,CPM4,MGH,0.17484852281912772,Dolphins
21,9,CPM4,omega,0.200446148687069,Dolphins
22,9,CPM4,LFK,0.21609863237235594,Dolphins
23,9,CPM4,MGH,0.24390028166684893,Dolphins
24,3,CPM5,omega,-0.048755218636007985,Dolphins
