,method1,method2,metric,value,dataName
0,infomap,multilevel,vi,0.2983032981839262,YeastB
1,infomap,multilevel,nmi,0.9024015824515099,YeastB
2,infomap,multilevel,split-join,10.0,YeastB
3,infomap,multilevel,rand,0.8888888888888887,YeastB
4,infomap,multilevel,adjusted_rand,0.6322364592858243,YeastB
5,infomap,multilevel,vi,0.4936601786771275,YeastB
6,infomap,multilevel,nmi,0.8985861011268419,YeastB
7,infomap,multilevel,split-join,6.0,YeastB
8,infomap,multilevel,rand,0.8603603603603602,YeastB
9,infomap,multilevel,adjusted_rand,0.7075795970594875,YeastB
10,infomap,multilevel,vi,0.3112812128548117,YeastB
12,infomap,multilevel,split-join,7.0,YeastB
13,infomap,multilevel,rand,0.8543543543543543,YeastB
14,infomap,multilevel,adjusted_rand,0.6137583852491358,YeastB
15,infomap,multilevel,vi,0.6145392324298387,YeastB
22,infomap,multilevel,split-join,0.0,YeastB
23,infomap,multilevel,rand,0.8948948948948948,YeastB
28,infomap,multilevel,rand,1.0,YeastB
31,infomap,multilevel,nmi,0.8327513022781962,YeastB
38,infomap,multilevel,rand,0.9009009009009008,YeastB
39,infomap,multilevel,adjusted_rand,0.726280917627718,YeastB
48,infomap,multilevel,rand,0.8483483483483483,YeastB
56,infomap,multilevel,nmi,0.8290078851551467,YeastB
67,infomap,multilevel,split-join,8.0,YeastB
76,infomap,multilevel,nmi,0.9291939377279408,YeastB
96,infomap,multilevel,nmi,0.8591718613387243,YeastB
97,infomap,multilevel,split-join,9.0,YeastB
114,infomap,multilevel,adjusted_rand,0.6919904004799757,YeastB
120,infomap,multilevel,vi,0.4321602666075228,YeastB
121,infomap,multilevel,nmi,1.0,YeastB
159,infomap,multilevel,adjusted_rand,1.0,YeastB
170,infomap,multilevel,vi,0.0,YeastB
176,infomap,multilevel,nmi,0.7870861288329628,YeastB
180,infomap,multilevel,vi,0.4806822640062425,YeastB
244,infomap,multilevel,adjusted_rand,0.5992206770814712,YeastB
0,infomap,multilevel,vi,0.19299317741440225,YeastA
1,infomap,multilevel,nmi,0.8938546045647036,YeastA
2,infomap,multilevel,split-join,8.0,YeastA
3,infomap,multilevel,rand,0.9622475856014048,YeastA
4,infomap,multilevel,adjusted_rand,0.8610877118343616,YeastA
6,infomap,multilevel,nmi,0.9177402551149914,YeastA
7,infomap,multilevel,split-join,6.0,YeastA
9,infomap,multilevel,adjusted_rand,0.906736614441129,YeastA
11,infomap,multilevel,nmi,0.9472526195362408,YeastA
13,infomap,multilevel,rand,0.9745390693590871,YeastA
20,infomap,multilevel,vi,0.3012684130927332,YeastA
154,infomap,multilevel,adjusted_rand,0.8363533408833527,YeastA
0,infomap,multilevel,vi,1.0679322908779338,Jazz
1,infomap,multilevel,nmi,0.5295143119202491,Jazz
2,infomap,multilevel,split-join,82.0,Jazz
3,infomap,multilevel,rand,0.6564118340768087,Jazz
4,infomap,multilevel,adjusted_rand,0.33570803648513653,Jazz
5,infomap,multilevel,vi,1.0652310326067078,Jazz
6,infomap,multilevel,nmi,0.6101544390604409,Jazz
7,infomap,multilevel,split-join,85.0,Jazz
8,infomap,multilevel,rand,0.6558478182843664,Jazz
9,infomap,multilevel,adjusted_rand,0.3267079646815549,Jazz
10,infomap,multilevel,vi,1.0529446683550139,Jazz
